Timestamp           | Source IP       | Destination IP | Protocol | Port | Action
-------------------------------------------------------------------------------------
2023-11-24 04:54:40 | 192.0.2.145     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:54:42 | 198.51.100.148  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:54:44 | 203.0.113.157   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:54:46 | 192.0.2.147     | 10.20.30.40    | TCP      | 443  | Allowed
2023-11-24 04:54:48 | 198.51.100.150  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:54:50 | 203.0.113.160   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:54:52 | 192.0.2.149     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:54:54 | 198.51.100.153  | 10.20.30.40    | TCP      | 22   | Allowed
2023-11-24 04:54:56 | 203.0.113.163   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:54:58 | 192.0.2.151     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:55:00 | 198.51.100.156  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:55:02 | 203.0.113.166   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:55:04 | 192.0.2.153     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:55:06 | 198.51.100.159  | 10.20.30.40    | TCP      | 443  | Allowed
2023-11-24 04:55:08 | 203.0.113.169   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:55:10 | 192.0.2.155     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:55:12 | 198.51.100.162  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:55:14 | 203.0.113.172   | 10.20.30.40    | TCP      | 22   | Allowed
2023-11-24 04:55:16 | 192.0.2.157     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:55:18 | 198.51.100.165  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:00 | 192.0.2.165     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:02 | 198.51.100.168  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:04 | 203.0.113.177   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:06 | 192.0.2.167     | 10.20.30.40    | TCP      | 443  | Allowed
2023-11-24 04:56:08 | 198.51.100.170  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:10 | 203.0.113.180   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:12 | 192.0.2.169     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:14 | 198.51.100.173  | 10.20.30.40    | TCP      | 22   | Denied
2023-11-24 04:56:16 | 203.0.113.183   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:18 | 192.0.2.171     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:20 | 198.51.100.176  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:22 | 203.0.113.186   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:24 | 192.0.2.173     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:26 | 198.51.100.179  | 10.20.30.40    | TCP      | 443  | Allowed
2023-11-24 04:56:28 | 203.0.113.189   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:30 | 192.0.2.175     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:32 | 198.51.100.182  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:34 | 203.0.113.192   | 10.20.30.40    | TCP      | 22   | Allowed
2023-11-24 04:56:36 | 192.0.2.177     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:56:38 | 198.51.100.185  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:57:20 | 192.0.2.185     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:57:22 | 198.51.100.188  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:57:24 | 203.0.113.197   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:57:26 | 192.0.2.187     | 10.20.30.40    | TCP      | 443  | Allowed
2023-11-24 04:57:28 | 198.51.100.190  | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:57:30 | 203.0.113.200   | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:57:32 | 192.0.2.189     | 10.20.30.40    | TCP      | 80   | Allowed
2023-11-24 04:57:34 | 198.51.100.193  | 10.20.30.40    | TCP      | 22   | Allowed
